Label,Tweet;;;
fear,sinb kamu tiati mukanya yak takut krna evil edit;;;
happy,gue masih senyum2 ga jelas grgr jungwon wonyoung kmrn. lucu bgt gue marah;;;
"anger,""[USERNAME] maaf pak saya rasa kita hrus punya etika dlm mengutarakan pendapat, aplgi bila anda suka berdakwah dan orang yg berpendidikan...berbeda itu hal yg biasa.....""";;;
"anger,""gua mau nyemangatin org"""", tp gua sendiri lg ga semangat, aduh keenan knp bodoh bgt si. haloo moots, tetep semangat yaa, luv u.""";;;
"anger,""Tapi dia itu bule dong, menurut persepsi dia mungkin itu normal, dan gw yakin niatnya tidak untuk melecehkan Pemikiran begini yg bikin orang Indonesia diremehkan bule. Itu orang tipe klo ada bule minta foto pasti  Ingin ku berkata kasar ... KASAR!!!!! [URL]""";;;
sadness,gagal aniv yaks sabar yaw jangan galau;;;
happy,Tadi sempet swafoto bareng pesinetron komedi TOP (Tukang Ojek Pengkolan) : Mang Odih alias Om Kusye. .. Yg membanggakan adalah si om menjadi saksi mewakili dari pihak perempuan (keluarga [URL];;;
"fear,""sering, dan sampe hari ini pun masih suka kaya gitu. gak tau suka takut aja gitu, apalagi klo malem beuh kadang deg degan banget. mana blm bahagiain ortu makin makin dah ketakutan""";;;
"love,""jarang suka genre romance, tp sekalinya suka lgsg bucin banget !!""";;;
"fear,""Baru pulang & mama said 'jgn kebanyakan mikir kamu ya mama takut, uwa tiba tiba pembuluh darah otaknya pecah sblmnya tlp ibunya kepalanya sakit' dan pas ditemuin lg kejang dikamar""";;;
neutral,disini sepi yak;;;
"fear,""Jam 2 malam nonton video video penampakan di yutup, takut sih, mana lampu rumah gue matiin semua.""";;;
"love,""[USERNAME] ter dimana pun lu berada sekarang gua cuman mau bilang rasa sayang gua ke lu ga pernah berubah , gua nungguin lu disini :) kalo emang leave tolong jangan lupain gua ya hehe kaya gua yang ga akan lupain lu , gua baru sadar kalo gua emg syg lu dar""";;;
"happy,""All We Know of Heaven, All We Need of Hell - PVRIS (2017) Gue ngikutin PVRIS dari awal, gue rasa album yg skrg lagu2nya lebih mature, sangar, dark, tp fragile. Konsep keseluruhan album + mv + dll nya keren parah. W suka lagu Mercy, Anyone Else, sama Winter [URL]""";;;
"happy,""[USERNAME] Kl makan siang di warteg blkng kntr, andalan gue makan di situ adlh paket 7rb haha smp bu haji nya tau klo stiap mau bayar dia bilang """"biasa 7rb"""" :') klo makan mah yg penting kenyang. Untungnya aku bukan tipe org yg suka nongki2. Dan klo mau beli a""";;;
anger,kecewa w bangsat;;;
"neutral,""itu ceweknya udah kepalang malu juga teh jadi buru buru dibalikin, mau bayarin ntar dikira apa lagi gitu kan, orang gak kenal""";;;
"happy,""[USERNAME] dulu beneran ada mahasiswa Teknik UI nembak pacarnya pas sahur di Kukusan Teknik Depok, diliput kru Katakan Cinta (dan belum pacaran mereka). Sekarang udah nikah dan punya anak. Pernah diceritain laman UI Shitposting/Divarposting juga.""";;;
"neutral,""ada 1 orang cewek.. ngomongnya halus banget, gapernah ngomong kasar, gapernah marah, sekarang dia jadi sister di gereja katolik""";;;
"happy,""Buat berjuang, butuh sarapan yah, nah ini dia sarapan q, Indomie Goreng Telor Puyuh  Yummy bangets rasanya, Apa sarapan kamu biar kamu makin Bersemangat ngejalanin aktivitas""";;;
happy,oke (y) cek fav ka :);;;
